author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
RED;real_estate_agent;https://www.cian.ru/sale/flat/286045327/;Москва;sale;flat;11;26;1;36.6;218306;7990000;Митино;Муравская;Пятницкое шоссе;Мир Митино
ID 102136095;homeowner;https://www.cian.ru/sale/flat/286309827/;Москва;sale;flat;2;9;1;33.0;278787;9200000;Северное Медведково;Широкая;Медведково;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283113540/;Москва;sale;flat;2;2;1;40.0;237500;9500000;Даниловский;Автозаводская;ЗИЛ;Галерея ЗИЛ
ИНСАЙДЕР;real_estate_agent;https://www.cian.ru/sale/flat/280679893/;Москва;sale;flat;21;22;1;33.5;289552;9700000;Текстильщики;1-й Грайвороновский проезд;Печатники;Волжский парк
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/285622563/;Москва;sale;flat;25;30;1;32.0;353125;11300000;Рязанский;Окская;Окская;balance
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/284189071/;Москва;sale;flat;10;16;1;43.2;203703;8800000;Бирюлево Восточное;Лебедянская;Царицыно;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/285614967/;Москва;sale;flat;2;9;1;32.0;250000;8000000;Богородское;Глебовская;Бульвар Рокоссовского;
One Life;real_estate_agent;https://www.cian.ru/sale/flat/283894159/;Москва;sale;flat;12;18;1;43.2;212962;9200000;;;Коммунарка;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/286625825/;Москва;sale;flat;19;25;1;36.5;268493;9800000;Митино;Муравская;Пятницкое шоссе;Мир Митино
Тарас Иванов;realtor;https://www.cian.ru/sale/flat/285391485/;Москва;sale;flat;5;5;1;30.2;387417;11700000;Фили-Давыдково;Минская;Филёвский парк;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/282821911/;Москва;sale;flat;2;17;1;37.4;267352;9999000;Ново-Переделкино;Боровское шоссе;Боровское шоссе;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/283102563/;Москва;sale;flat;1;4;1;16.5;375272;6192000;Покровское-Стрешнево;Волоколамское шоссе;Трикотажная;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/278794127/;Москва;sale;flat;2;4;1;17.6;268352;4723000;Покровское-Стрешнево;Волоколамское шоссе;Трикотажная;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284808198/;Москва;sale;flat;7;9;1;30.0;350000;10500000;Войковский;Клары Цеткин;Балтийская;
MadeState;real_estate_agent;https://www.cian.ru/sale/flat/286711757/;Москва;sale;flat;11;12;1;34.2;350877;12000000;Донской;Малая Тульская;Тульская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/286568126/;Москва;sale;flat;9;17;1;37.2;268817;10000000;Выхино-Жулебино;Лермонтовский проспект;Косино;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/279499134/;Москва;sale;flat;2;4;1;16.9;249704;4220000;Покровское-Стрешнево;Волоколамское шоссе;Трикотажная;
ПИК;developer;https://www.cian.ru/sale/flat/284914717/;Москва;sale;flat;11;33;1;32.1;274080;8797968;Отрадное;;Владыкино;Сигнальный 16 ЖК
Центр недвижимости от Сбербанка;real_estate_agent;https://www.cian.ru/sale/flat/286893915/;Москва;sale;flat;8;16;1;34.1;278592;9500000;Бирюлево Западное;Харьковская;Пражская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283584693/;Москва;sale;flat;1;12;1;35.4;398305;14100000;Тверской;Новолесная;Белорусская;
