author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
ЦАО НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/287030122/;Москва;sale;flat;20;78;2;62.0;766129;47500000;Пресненский;1-й Красногвардейский проезд;Тестовская;NEVA TOWERS
Wainbridge;developer;https://www.cian.ru/sale/flat/284003619/;Москва;sale;flat;13;20;4;123.11;504426;62100000;Левобережный;Ленинградское шоссе;Беломорская;Aquatoria
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/285288373/;Москва;sale;flat;19;53;4;145.0;613103;88900000;Раменки;Мосфильмовская;Ломоносовский проспект;Дом на Мосфильмовской
Wainbridge;developer;https://www.cian.ru/sale/flat/263344823/;Москва;sale;flat;3;20;3;87.4;437070;38200000;Левобережный;Ленинградское шоссе;Беломорская;Aquatoria
ID 416302;realtor;https://www.cian.ru/sale/flat/285912340/;Москва;sale;flat;3;14;4;92.1;509229;46900000;Раменки;проспект Генерала Дорохова;Минская;West Garden
MR Group;developer;https://www.cian.ru/sale/flat/283211195/;Москва;sale;flat;4;41;3;86.2;428400;36928080;Филевский парк;Багратионовский проезд;Фили;Filicity
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/267370182/;Москва;sale;flat;5;7;2;69.7;1045523;72873000;Арбат;Поварская;Арбатская;De Luxe квартал апартаментов 
MR Group;developer;https://www.cian.ru/sale/flat/284803737/;Москва;sale;flat;-1;-1;-1;1.0;37111200;37111200;Филевский парк;Багратионовский проезд;Фили;Filicity
ID 76590;realtor;https://www.cian.ru/sale/flat/279312594/;Москва;sale;flat;6;8;3;236.0;1059322;250000000;Хамовники;переулок Хилков;Парк Культуры;Парк Палас
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/284847728/;Москва;sale;flat;2;18;4;119.9;708924;85000000;Даниловский;Серпуховский Вал;Шаболовская;Донской Олимп
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/267782227/;Москва;sale;flat;5;7;1;69.9;1044964;73043000;Арбат;Поварская;Арбатская;De Luxe квартал апартаментов 
LaRichesse;real_estate_agent;https://www.cian.ru/sale/flat/284410586/;Москва;sale;flat;3;5;4;125.5;414342;52000000;Тверской;Большая Дмитровка;Пушкинская;
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/278442570/;Москва;sale;flat;32;53;3;100.0;600000;60000000;Раменки;Мосфильмовская;Минская;Дом на Мосфильмовской
TEKTA GROUP;developer;https://www.cian.ru/sale/flat/273874738/;Москва;sale;flat;24;42;4;86.8;411200;35692160;Котловка;;Крымская;Энитео ЖК
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/274702304/;Москва;sale;flat;3;24;3;107.6;636617;68500000;Беговой;Верхняя;Белорусская;Суббота
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/281046753/;Москва;sale;flat;19;20;3;161.7;834879;135000000;Пресненский;2-я Черногрязская;Улица 1905 года;RedSide
TEKTA GROUP;developer;https://www.cian.ru/sale/flat/246609429/;Москва;sale;flat;2;42;3;91.3;389000;35515700;Котловка;;Нагорная;Энитео ЖК
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/287015815/;Москва;sale;flat;3;5;4;158.0;424050;67000000;Басманный;Покровка;Курская;
SKOLKOVO НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/287071838/;Москва;sale;flat;12;53;3;108.0;513888;55500000;Пресненский;Шмитовский проезд;Шелепиха;Headliner
Ташир;developer;https://www.cian.ru/sale/flat/271161275/;Москва;sale;flat;21;21;4;193.2;500000;96600000;Очаково-Матвеевское;Аминьевское шоссе;Давыдково;West Tower (Апартаменты бизнес-класса)
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/284546670/;Москва;sale;flat;9;13;2;77.0;1493506;115000000;Хамовники;Усачева;Спортивная;Садовые кварталы
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/285031068/;Москва;sale;flat;3;18;4;162.0;740740;120000000;Хамовники;Усачева;Фрунзенская;Садовые кварталы
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/286007332/;Москва;sale;flat;10;18;4;150.7;895819;135000000;Хамовники;Усачева;Спортивная;Садовые кварталы
Ташир;representative_developer;https://www.cian.ru/sale/flat/280125497/;Москва;sale;flat;2;3;3;197.0;700000;137900000;Хорошево-Мневники;Таманская;Карамышевская;Берег столицы
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/257363841/;Москва;sale;flat;4;24;3;150.0;466000;69900000;Тропарево-Никулино;Покрышкина;Тропарёво;Академия Люкс
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/279514117/;Москва;sale;flat;4;7;4;126.7;860299;109000000;Хамовники;Денежный переулок;Смоленская;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/285243200/;Москва;sale;flat;26;41;4;138.2;991316;137000000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
TEKTA GROUP;developer;https://www.cian.ru/sale/flat/281612373/;Москва;sale;flat;30;42;2;42.1;519300;21862530;Котловка;;Крымская;Энитео ЖК
Capital Group;developer;https://www.cian.ru/sale/flat/275692275/;Москва;sale;flat;2;29;4;138.8;329175;45689490;Якиманка;Мытная;Серпуховская;Sky House
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/283680381/;Москва;sale;flat;4;7;2;65.0;1000000;65000000;Хамовники;Комсомольский проспект;Спортивная;Clerkenwell House
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/282395516/;Москва;sale;flat;4;9;3;109.0;642201;70000000;Тверской;Большой Каретный переулок;Цветной бульвар;Каретный плаза
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/278685637/;Москва;sale;flat;14;57;3;135.0;533333;72000000;Хорошевский;Чапаевский переулок;Сокол;Триумф-Палас
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/284778865/;Москва;sale;flat;16;21;2;65.0;1123076;73000000;Пресненский;Мантулинская;Выставочная;City Park
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/284892044/;Москва;sale;flat;14;21;3;158.1;942441;149000000;Пресненский;2-я Звенигородская;Улица 1905 года;Резиденция МОНЭ
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/282485554/;Москва;sale;flat;16;24;3;80.0;406250;32500000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/278781046/;Москва;sale;flat;35;38;4;145.0;500000;72500000;Раменки;Мосфильмовская;Парк Победы;Воробьевы Горы
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/284495208/;Москва;sale;flat;2;3;4;181.4;766262;139000000;Якиманка;3-й Кадашевский переулок;Третьяковская;Кадашевские палаты
PRIME;real_estate_agent;https://www.cian.ru/sale/flat/284846484/;Москва;sale;flat;5;7;4;200.0;2000000;400000000;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/267885932/;Москва;sale;flat;36;48;4;145.0;462068;67000000;Раменки;Мосфильмовская;Ломоносовский проспект;Воробьевы Горы
ID 486432;realtor;https://www.cian.ru/sale/flat/258366632/;Москва;sale;flat;22;30;3;80.0;297500;23800000;Южнопортовый;Волгоградский проспект;Волгоградский проспект;Метрополия
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/285150548/;Москва;sale;flat;2;4;2;89.5;726256;65000000;Арбат;Арбат;Смоленская;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/275982266/;Москва;sale;flat;10;40;3;136.1;551065;75000000;Раменки;Мосфильмовская;Парк Победы;Воробьевы Горы
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/282783881/;Москва;sale;flat;3;9;4;152.2;543692;82750000;Замоскворечье;Татарская;Павелецкая;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/281601753/;Москва;sale;flat;6;8;3;236.2;1058425;250000000;Хамовники;переулок Хилков;Кропоткинская;Парк Палас
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/286004215/;Москва;sale;flat;5;12;3;77.2;542746;41900000;Аэропорт;Петровско-Разумовская аллея;Петровский Парк;
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/280659812/;Москва;sale;flat;22;31;4;184.0;479347;88200000;Очаково-Матвеевское;Нежинская;Славянский бульвар;Кутузовская Ривьера
Группа Родина;developer;https://www.cian.ru/sale/flat/285606699/;Москва;sale;flat;4;21;1;47.2;447237;21109600;Ростокино;Сельскохозяйственная;Ботанический сад;СОЮЗ
